,embedding size,p,q,accuracy (mean),accuracy (std),f1_micro (mean),f1_micro (std),f1_macro (mean),f1_macro (std)
0,32.0,0.1,0.1,0.4922967044179165,0.028310357940871573,0.4922967044179165,0.02831035794087157,0.489070761990329,0.02834629605199806
1,32.0,0.3,0.1,0.49882665034180185,0.0322458858890136,0.49882665034180185,0.032245885889013594,0.4950622357705264,0.03203550758643775
2,32.0,0.6,0.1,0.5284154678094073,0.027612281749288203,0.5284154678094073,0.0276122817492882,0.5236497564318353,0.027173520936770366
3,32.0,1.0,0.1,0.5567289052137537,0.030002491249126174,0.5567289052137537,0.030002491249126174,0.5524962428994051,0.029483357528243357
4,32.0,5.0,0.1,0.5010203040506072,0.027727689468908204,0.5010203040506072,0.027727689468908204,0.48988426717511474,0.027840539838021584
5,32.0,10.0,0.1,0.4746964595449444,0.031833077600655034,0.4746964595449444,0.031833077600655034,0.47118597224981235,0.03214401591868374
6,32.0,0.1,0.3,0.5485154576063668,0.03296490123733649,0.5485154576063668,0.03296490123733649,0.5443480642352427,0.03346277565424724
7,32.0,0.3,0.3,0.5361187633914907,0.03304722136343728,0.5361187633914907,0.03304722136343728,0.531382317466126,0.03306716252684338
8,32.0,0.6,0.3,0.5227017651260076,0.028815778079121845,0.5227017651260076,0.028815778079121845,0.5188256295321095,0.029428088194308335
9,32.0,1.0,0.3,0.5153555759616366,0.02876696562630215,0.5153555759616366,0.02876696562630215,0.5107220312401358,0.029630658076838595
10,32.0,5.0,0.3,0.5179573512906847,0.032606577314393696,0.5179573512906847,0.032606577314393696,0.5145164214112499,0.03255516281695286
11,32.0,10.0,0.3,0.5378022650749923,0.029469924275982978,0.5378022650749923,0.029469924275982978,0.5348904706162563,0.030058694237303608
12,32.0,0.1,0.6,0.5265789205183145,0.02789080952005516,0.5265789205183145,0.02789080952005516,0.5215153543515003,0.02778170115390827
13,32.0,0.3,0.6,0.5107642077339047,0.031254379623589464,0.5107642077339047,0.031254379623589464,0.5071662072876953,0.031597002285938314
14,32.0,0.6,0.6,0.5202530354045506,0.03235490162979169,0.5202530354045506,0.03235490162979169,0.5134245674479745,0.033908479137137904
15,32.0,1.0,0.6,0.5684113865932049,0.02786943284992969,0.5684113865932049,0.02786943284992969,0.5666872852283432,0.028289557494717198
16,32.0,5.0,0.6,0.4877053361901847,0.029902133512507277,0.4877053361901847,0.029902133512507274,0.48542165463263687,0.030496799963475058
17,32.0,10.0,0.6,0.4611264156718702,0.03177604244694047,0.4611264156718702,0.03177604244694046,0.45739459898835244,0.03214947077008778
18,32.0,0.1,1.0,0.54178145087236,0.027994380308583533,0.54178145087236,0.027994380308583533,0.5387600813135487,0.028626344922486918
19,32.0,0.3,1.0,0.5146923783287419,0.030943233141403573,0.5146923783287419,0.030943233141403573,0.5104927191397874,0.031057244646705742
20,32.0,0.6,1.0,0.494949494949495,0.03184525694187928,0.494949494949495,0.03184525694187928,0.4909534150530965,0.03206945309978158
21,32.0,1.0,1.0,0.5177022752780328,0.029817676719967906,0.5177022752780328,0.029817676719967906,0.5128005572500873,0.03021052752760044
22,32.0,5.0,1.0,0.5372921130496888,0.03038545290686713,0.5372921130496888,0.03038545290686713,0.5314683892260584,0.031315655259195864
23,32.0,10.0,1.0,0.5053565962656872,0.026819250443544967,0.5053565962656872,0.02681925044354496,0.500773109969362,0.02676585165897807
24,32.0,0.1,5.0,0.4914294459749005,0.032210919696544334,0.4914294459749005,0.032210919696544334,0.4850409098680804,0.032331294945911665
25,32.0,0.3,5.0,0.4764819916335067,0.02765494557050694,0.4764819916335067,0.027654945570506934,0.4689256771717604,0.027798873791012823
26,32.0,0.6,5.0,0.49959187837975716,0.029058879132070548,0.49959187837975716,0.029058879132070545,0.4953943159017257,0.02830538652195788
27,32.0,1.0,5.0,0.5390266299357209,0.028067913521851295,0.5390266299357209,0.028067913521851295,0.5309985555199923,0.02878549925624636
28,32.0,5.0,5.0,0.5214774002652791,0.02908251370294166,0.5214774002652791,0.02908251370294166,0.5166382376654082,0.029753229966014722
29,32.0,10.0,5.0,0.5156106519742883,0.03133214030062858,0.5156106519742883,0.03133214030062857,0.5123983773420231,0.03124299358473712
30,32.0,0.1,10.0,0.5355575961636567,0.026781766653212292,0.5355575961636567,0.026781766653212292,0.5311992029887663,0.026947287033744296
31,32.0,0.3,10.0,0.494949494949495,0.028225195262304666,0.494949494949495,0.02822519526230466,0.4924852729499026,0.028228687884921704
32,32.0,0.6,10.0,0.5354045505560657,0.023716089221732274,0.5354045505560657,0.023716089221732274,0.531548674993302,0.02474012988617376
33,32.0,1.0,10.0,0.493368023671054,0.028139682360474556,0.493368023671054,0.028139682360474556,0.4854555095674862,0.02836940832891671
34,32.0,5.0,10.0,0.5331088664421998,0.03055891539415991,0.5331088664421998,0.03055891539415991,0.528666087679167,0.030124804463889248
35,32.0,10.0,10.0,0.4928068564432201,0.0319187246188643,0.4928068564432201,0.0319187246188643,0.48208768961966525,0.03219865813949195
