,walk number,walk length,p,q,accuracy,f1_micro,f1_macro
0,100.0,5.0,0.1,0.1,0.7572641931157801,0.7572641931157801,0.7377023882122532
1,100.0,5.0,0.3,0.1,0.7451944568618686,0.7451944568618686,0.7252609730453602
2,100.0,5.0,0.6,0.1,0.7586052749217702,0.7586052749217702,0.7392360885981403
3,100.0,5.0,1.0,0.1,0.7599463567277603,0.7599463567277603,0.7397055192191516
4,100.0,5.0,5.0,0.1,0.7729101475189987,0.7729101475189988,0.7585616885402857
5,100.0,5.0,10.0,0.1,0.7586052749217702,0.7586052749217702,0.7475067312637727
6,100.0,5.0,0.1,0.3,0.679034421099687,0.679034421099687,0.6471455087806197
7,100.0,5.0,0.3,0.3,0.7639696021457308,0.7639696021457308,0.7499750631324655
8,100.0,5.0,0.6,0.3,0.7380420205632544,0.7380420205632544,0.7158257993583679
9,100.0,5.0,1.0,0.3,0.7402771569065713,0.7402771569065713,0.7111268791450948
10,100.0,5.0,5.0,0.3,0.7706750111756817,0.7706750111756817,0.748513811463444
11,100.0,5.0,10.0,0.3,0.7487706750111757,0.7487706750111757,0.7199023715824391
12,100.0,5.0,0.1,0.6,0.7107733571747876,0.7107733571747876,0.7011522965939013
13,100.0,5.0,0.3,0.6,0.7232901206973625,0.7232901206973625,0.6948567538584892
14,100.0,5.0,0.6,0.6,0.7483236477425123,0.7483236477425121,0.7234956421942433
15,100.0,5.0,1.0,0.6,0.743406347787215,0.743406347787215,0.7199698836606412
16,100.0,5.0,5.0,0.6,0.7219490388913724,0.7219490388913724,0.629650923596549
17,100.0,5.0,10.0,0.6,0.7518998658918195,0.7518998658918195,0.7347702680696789
18,100.0,5.0,0.1,1.0,0.6955744300402324,0.6955744300402324,0.6868947987558809
19,100.0,5.0,0.3,1.0,0.681269557443004,0.681269557443004,0.6372512648880192
20,100.0,5.0,0.6,1.0,0.7313366115333035,0.7313366115333034,0.7112396642267607
21,100.0,5.0,1.0,1.0,0.7429593205185516,0.7429593205185515,0.720867405098575
22,100.0,5.0,5.0,1.0,0.7603933839964238,0.7603933839964238,0.7421522967211621
23,100.0,5.0,10.0,1.0,0.6928922664282521,0.6928922664282521,0.5909771464191801
24,100.0,5.0,0.1,5.0,0.6021457308895842,0.6021457308895842,0.5822018145895429
25,100.0,5.0,0.3,5.0,0.6767992847563702,0.6767992847563702,0.663310940882346
26,100.0,5.0,0.6,5.0,0.6584711667411712,0.6584711667411712,0.6486526910656686
27,100.0,5.0,1.0,5.0,0.6987036209208761,0.6987036209208761,0.6650755156359918
28,100.0,5.0,5.0,5.0,0.719266875279392,0.719266875279392,0.6995712101788666
29,100.0,5.0,10.0,5.0,0.7541350022351363,0.7541350022351363,0.7349184682652877
30,100.0,5.0,0.1,10.0,0.5507375949932946,0.5507375949932946,0.4679194743502138
31,100.0,5.0,0.3,10.0,0.6021457308895842,0.6021457308895842,0.5473343477760436
32,100.0,5.0,0.6,10.0,0.6329906124273581,0.6329906124273581,0.6187299056025585
33,100.0,5.0,1.0,10.0,0.6553419758605274,0.6553419758605274,0.6148811069478316
34,100.0,5.0,5.0,10.0,0.7103263299061243,0.7103263299061243,0.7046583542118299
35,100.0,5.0,10.0,10.0,0.735359856951274,0.735359856951274,0.7090824069706348
